file,line,wait_type,pattern
tests/e2e/brain-teaser.spec.js,15,waitForSelector,'#game-canvas'
tests/e2e/brain-teaser.spec.js,115,waitForSelector,'#game-canvas'
tests/e2e/brain-teaser.spec.js,163,waitForSelector,'#game-canvas'
tests/e2e/brain-teaser.spec.js,209,waitForSelector,'#game-canvas'
tests/e2e/brain-teaser.spec.js,223,waitForSelector,'#game-canvas'
tests/e2e/brain-teaser.spec.js,147,waitForFunction,(
tests/e2e/bridge-race.spec.js,12,waitForSelector,'#game-container canvas'
tests/e2e/bus-jam.spec.js,12,waitForSelector,'#game-canvas'
tests/e2e/cross-game.spec.js,48,waitForSelector,'#game-canvas'
tests/e2e/cross-game.spec.js,93,waitForSelector,'#game-canvas'
tests/e2e/cross-game.spec.js,122,waitForSelector,'#game-canvas'
tests/e2e/cross-game.spec.js,165,waitForSelector,'#game-canvas'
tests/e2e/cross-game.spec.js,242,waitForSelector,'#game-canvas'
tests/e2e/cross-game.spec.js,255,waitForSelector,'#game-canvas'
tests/e2e/cross-game.spec.js,269,waitForSelector,'#game-canvas'
tests/e2e/cross-game.spec.js,291,waitForSelector,'#game-canvas'
tests/e2e/cross-game.spec.js,186,waitForFunction,(
tests/e2e/cross-game.spec.js,206,waitForFunction,(
tests/e2e/cross-game.spec.js,223,waitForFunction,(
tests/e2e/crowd-runner.spec.js,12,waitForSelector,'#game-container canvas'
tests/e2e/deploy-smoke.spec.js,97,waitForFunction,(
tests/e2e/fail-speedrun.spec.js,16,waitForSelector,'#test-container'
tests/e2e/fail-speedrun.spec.js,136,waitForSelector,'#test-container'
tests/e2e/fail-speedrun.spec.js,185,waitForSelector,'#test-container'
tests/e2e/fail-speedrun.spec.js,285,waitForSelector,'#test-container'
tests/e2e/fail-speedrun.spec.js,345,waitForSelector,'#test-container'
tests/e2e/fail-speedrun.spec.js,362,waitForSelector,'.fs-overlay.fs-visible'
tests/e2e/fail-speedrun.spec.js,384,waitForSelector,'.fs-overlay.fs-visible'
tests/e2e/fail-speedrun.spec.js,404,waitForSelector,'.fs-overlay.fs-visible'
tests/e2e/fail-speedrun.spec.js,410,waitForSelector,'.fs-overlay:not(.fs-visible
tests/e2e/fail-speedrun.spec.js,417,waitForSelector,'#test-container'
tests/e2e/fail-speedrun.spec.js,448,waitForSelector,'#test-container'
tests/e2e/gameplay-share.spec.js,23,waitForSelector,canvasSelector
tests/e2e/gameplay-share.spec.js,49,waitForSelector,'#game-container canvas'
tests/e2e/gameplay-share.spec.js,27,waitForFunction,
tests/e2e/giant-runner.spec.js,12,waitForSelector,'#game-container canvas'
tests/e2e/jelly-shift.spec.js,15,waitForSelector,'#game-container canvas'
tests/e2e/jelly-shift.spec.js,102,waitForFunction,(
tests/e2e/level-nav.spec.js,76,waitForSelector,'#game-canvas'
tests/e2e/level-nav.spec.js,117,waitForSelector,'#game-canvas'
tests/e2e/level-nav.spec.js,140,waitForSelector,'#game-canvas'
tests/e2e/level-nav.spec.js,158,waitForSelector,'#game-canvas'
tests/e2e/level-nav.spec.js,163,waitForSelector,'#game-canvas'
tests/e2e/level-nav.spec.js,185,waitForSelector,'#game-canvas'
tests/e2e/level-nav.spec.js,190,waitForSelector,'#game-canvas'
tests/e2e/level-nav.spec.js,212,waitForSelector,'#game-canvas'
tests/e2e/level-nav.spec.js,217,waitForSelector,'#game-canvas'
tests/e2e/level-nav.spec.js,231,waitForSelector,'#game-canvas'
tests/e2e/level-nav.spec.js,247,waitForSelector,'#game-canvas'
tests/e2e/level-nav.spec.js,252,waitForSelector,'#game-canvas'
tests/e2e/level-nav.spec.js,265,waitForSelector,'#game-canvas'
tests/e2e/level-nav.spec.js,282,waitForSelector,'#game-canvas'
tests/e2e/level-nav.spec.js,297,waitForSelector,'#game-canvas'
tests/e2e/level-nav.spec.js,342,waitForSelector,'#game-canvas'
tests/e2e/level-nav.spec.js,379,waitForSelector,'#game-canvas'
tests/e2e/level-nav.spec.js,410,waitForSelector,'#game-canvas'
tests/e2e/level-nav.spec.js,435,waitForSelector,'#game-canvas'
tests/e2e/level-nav.spec.js,464,waitForSelector,'#game-canvas'
tests/e2e/level-nav.spec.js,468,waitForSelector,'#game-canvas'
tests/e2e/level-nav.spec.js,488,waitForSelector,'#game-canvas'
tests/e2e/level-nav.spec.js,497,waitForSelector,'#game-canvas'
